Año;Mes;Descripción Centro;Organismo;Número Contrato;Número Expediente;Descripción Contrato;Tipo Contrato;Procedimiento Adjudicación;Artículo;Apartado;Criterios Adjudicación;Presupuesto Total(IVA Incluido);Importe Adjudicación (IVA Incluido);Plazo;Fecha Adjudicación;Nombre/Razón Social;NIF/CIF Adjudicatario;Fecha Formalización;Acuerdo Marco;Ingreso/Coste Cero;Observaciones
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE USERA;202000268;300/2019/01017;ORGANIZACION Y REALIZACION DE ACTIVIDADES NAVIDEÑAS 2019-2020 CON DOS LOTES. LOTE 2;Servicios;Abierto;;;Pluralidad de criterios;123.529,37 €;103.697,00 €;0,43;25/11/2019;TRATO PRODUCCIONES ARTISTICAS SL;B86700796;23/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE TETUÁN;202000269;300/2019/01058;ARRENDAMIENTO DE SANITARIOS (WC) QUIMICOS PORTATILES EN EL MERCADILLO DE TETUAN Y EN OTRAS VIAS O ESPACIOS PUBLICOS DEL DISTRITO. AÑOS 2020 Y 2021. 2 LOTES. LOTE 1;Suministro;Abierto simplificado sumario;;;Un unico criterio;23.638,56 €;17.977,13 €;23,63;30/12/2019;ECOFERSA SISTEMAS INTEGRALES, S.L.;B85849925;13/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;202000270;300/2019/01148;SUMINISTRO DE COMPUESTO FERRICO PARA LA REDUCCION DEL CONTENIDO DE ACIDO SULFHIDRICO EN EL BIOGAS DE BIOMETANIZACION GENERADO EN LAS PLANTAS DE BIOMETANIZACION DEL PARQUE TECNOLOGICO DE VALDEMINGOMEZ.;Suministro;Abierto;;;Pluralidad de criterios;2.904.000,00 €;2.904.000,00 €;36;30/12/2019;PRODUCTOS MINERALES PARA LA INDUSTRIA SA;A48065858;31/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;INFORMÁTICA AYUNTAMIENTO DE MADRID;202000271;300/2019/00024;SERVICIO DE MANTENIMIENTO Y SOPORTE TECNICO 24X7 DE LAS INFRAESTRUCTURAS DEL CENTRO DE PROCESO DE DATOS DE INFORMATICA AYUNTAMIENTO DE MADRID.;Servicios;Abierto;;;Un unico criterio;966.607,00 €;595.429,92 €;24;11/12/2019;FERROVIAL SERVICIOS, S.A.;A80241789;21/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;202000272;300/2019/00190;CONTRATO DE ARRENDAMIENTO DE 800 BOTELLAS CON SUMINISTRO DE OXIGENO MEDICINAL PARA LAS INTERVENCIONES DEL SAMUR-PROTECCION CIVIL DEL AYUNTAMIENTO DE MADRID;Suministro;Abierto;;;Pluralidad de criterios;437.526,50 €;437.526,50 €;24;13/11/2019;SOCIEDAD ESPAÑOLA DE CARBUROS METALICOS, S.A.;A08015646;09/01/2020; ;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000273;MDC/2020/00005;REPRESENTACION ARTISTICA DE LOS CONCIERTOS ECHO COLLECTIVE, NOVA MATERIA+ASUNCION Y VIC MIRALLAS DENTRO DEL CICLO SUENA CONDE DUQUE V EN CENTRO CULTURAL CONDE DUQUE;Servicios;Negociado sin publicidad;168;a) apartado 2º;;20.286,86 €;20.286,86 €;1,66;06/02/2020;PLAN B MUSIC, SL;B85999084;07/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE BARAJAS;202000274;300/2018/01130;MANTENIMIENTO INTEGRAL DE LOS EQUIPAMIENTOS ADSCRITOS AL DISTRITO DE BARAJAS 2020-2021;Servicios;Abierto;;;Pluralidad de criterios;944.124,57 €;725.390,69 €;23,96;02/12/2019;OHL SERVICIOS INGESAN SA;A27178789;02/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000275;300/2019/00774;ORGANIZACION Y DESARROLLO DEL PROGRAMA DE ATENCION PSICOLOGICA GRUPAL, FAMILIAR E INDIVIDUAL, DE CARACTER GENERALISTA Y ESPECIALIZADA EN GERONTOLOGIA, DEL DISTRITO DE FUENCARRAL EL PARDO.;Servicios;Abierto;;;Pluralidad de criterios;139.105,42 €;112.441,64 €;12;23/12/2019;ASOCIACION CENTRO TRAMA;G80054760;16/01/2020; ;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000276;MDC/2020/00004;"EJECUCION DE LA REPRESENTACION ARTISTICA ""X FESTIVAL INTERNACIONAL DE MAGIA MADRID"" EN TEATRO CIRCO PRICE";Servicios;Negociado sin publicidad;168;a) apartado 2º;;459.219,20 €;459.219,20 €;1,56;16/01/2020;7 ROJO PRODUCCIONES, S.L;B84016328;20/01/2020; ;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000277;MDC/2020/00008;"EJECUCION Y DESARROLLO DE LA REPRESENTACION ARTISTICA ""WASTED"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2º;;39.991,71 €;39.991,71 €;0,86;21/01/2020;ABRE TU MENTE, S.L;B87341558;04/02/2020; ;;
2020;Febrero;EMPRESAS;EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.;202000278;EVS/2020/00001;SUMINISTRO DEL SOFTWARE DENOMINADO GINPIX, PARA LA GESTION DE RECURSOS HUMANOS DE LA EMPRESA MUNICIPAL DE LA VIVIENDA Y SUELO DE MADRID, S.A.,;Suministro;Negociado sin publicidad;168;a) apartado 2º;;14.321,22 €;14.321,22 €;12;26/12/2019;SOLUCIONES AVANZADAS EN INFORMATICA APLICADA, S.L.;B80004732;03/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000279;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 1;Suministro;Abierto;;;Un unico criterio;12.882,12 €;12.882,12 €;36;28/11/2019;TEXTIL PLANAS OLIVERAS, S.A;A08564502;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000280;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 2;Suministro;Abierto;;;Un unico criterio;44.364,54 €;44.364,54 €;36;22/11/2019;GAUTEX MEDICA, S.L.;B62870142;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000281;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 3;Suministro;Abierto;;;Un unico criterio;30.430,62 €;30.430,62 €;36;22/11/2019;CAHNOS, S.L.;B80179344;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000282;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 4;Suministro;Abierto;;;Un unico criterio;14.340,12 €;14.340,12 €;36;22/11/2019;CLINIMARK S.L.;B84159615;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000283;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 5;Suministro;Abierto;;;Un unico criterio;130.339,29 €;130.339,29 €;36;22/11/2019;PROCLINIC, S.A.;A08820953;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000284;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 6;Suministro;Abierto;;;Un unico criterio;5.805,39 €;5.805,39 €;36;22/11/2019;AMCOR FLEXIBLES PERGUT, S.L.;B60366184;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000285;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 7;Suministro;Abierto;;;Un unico criterio;9.964,35 €;9.964,35 €;36;22/11/2019;LIBERA MEDICA, S.L.;B87070314;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000286;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 8;Suministro;Abierto;;;Un unico criterio;66.783,48 €;66.783,48 €;36;22/11/2019;CAHNOS, S.L.;B80179344;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000287;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 9;Suministro;Abierto;;;Un unico criterio;25.019,94 €;25.019,94 €;36;22/11/2019;CLINIMARK S.L.;B84159615;26/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;MADRID SALUD;202000288;300/2019/01081;SUMINISTRTO DE MATERIAL FUNGIBLE SANITARIO CON DESTINO AL SERVICIO DE FARMACIA DE MADRID SALUD (10 LOTES) PARA LOS EJERCICIOS 2020, 2021 Y 2022. LOTE 10;Suministro;Abierto;;;Un unico criterio;87.264,87 €;87.264,87 €;36;22/11/2019;LABORATORIO ARAGO;B08651481;26/12/2019; ;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000289;MDC/2020/00007;"ORGANIZACION, EJECUCION Y DESARROLLO DE LA REPRESENTACION ARTISTICA ""EL REY LEAR"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2º;;111.629,76 €;111.629,76 €;0,66;29/01/2020;CENTRO DE ARTE Y PRODUCCIONES TEATRALES, S.L (ATALAYA);B91664672;10/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;202000290;300/2019/00939;ACUERDO MARCO DE SERVICIOS DENOMINADO MANTENIMIENTO Y CONSERVACION DE CENTROS DE TRANSFORMACION, SUS INSTALACIONES CONTRAINCENDIOS Y CLIMATIZACION, UBICADOS EN DEPENDENCIAS MUNICIPALES;Servicios;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;13/01/2020;ELDU, ELECTROAPLICACIONES, S. A.;A28923183;06/02/2020;SI;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE TETUÁN;202000291;300/2019/01211;TRANSPORTE ESCOLAR PARA LA REALIZACION DE ACTIVIDADES COMPLEMENTARIAS DE CARACTER EDUCATIVO EN TETUAN  PARA EL AÑO 2020 CON MEDIDAS PARA LA REDUCCION DE LA EMISION DE GASES DE EFECTO INVERNADERO;Servicios;Abierto simplificado sumario;;;Un unico criterio;34.386,00 €;34.386,00 €;12;06/02/2020;COMPAÑIA EUROPEA DE VIAJEROS ESPAÑA, S.A. CEVESA;A81544868;06/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE;202000292;300/2019/00525;ARRENDAMIENTO DE DOS DESFIBRILADORES SEMIAUTOMATICOS EXTERNOS (DESA) PARA DOS CENTROS DEPENDIENTES DEL AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTE.;Suministro;Abierto simplificado sumario;;;Pluralidad de criterios;9.101,43 €;2.418,79 €;24;13/02/2020;ESFOREM FORMACION DE EMERGENCIAS, S.L.;B45779006;14/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMBERÍ;202000293;300/2018/01702;CONTRATO DE SERVICIOS PARA IMPARTIR CURSOS INTENSIVOS Y ESPECIALIZADOS PARA JOVENES EN EL DISTRITO DE CHAMBERI.;Servicios;Abierto;;;Pluralidad de criterios;110.356,02 €;83.483,95 €;12;27/12/2019;ACTIVIDADES DE EDUCACION, CULTURA Y OCIO SLL;B82999129;28/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000294;300/2019/01039;ORGANIZACION Y REALIZACION DE DOS CABALGATAS DE REYES 2020 EN EL DISTRITO DE FUENCARRAL-EL PARDO.;Servicios;Abierto simplificado;;;Pluralidad de criterios;99.890,47 €;86.999,00 €;0,66;13/12/2019;MERINO Y MERINO PRODUCCIONES, S.L.;B81590606;17/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000295;300/2019/00776;TRANSPORTE MEDIANTE AUTOCARES DESTINADO A LAS ACTIVIDADES COMPLEMENTARIAS A LA ENSEÑANZA (EDUCATIVAS, FORMATIVAS Y DEPORTIVAS) REALIZADAS CON CENTROS EDUCATIVOS DEL DISTRITO DE FUENCARRAL - EL PARDO;Servicios;Abierto simplificado;;;Pluralidad de criterios;31.396,20 €;31.198,20 €;12;12/11/2019;THE BUS ONTIME S L Y AUTOCARES VISTA ALEGRE S L- UTE;U88499199;28/11/2019; ;;
2020;Febrero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000296;EMT/2019/00020;SERVICIO DE TOMA DE MUESTRAS Y CONTROLES ANALITICOS DE AGUAS EN LAS DIFERENTES INSTALACIONES DE LA EMT DE MADRID - LOTES 1 Y 2;Servicios;Abierto simplificado;;;Pluralidad de criterios;22.915,29 €;22.915,27 €;60;02/01/2020;LABYGEMA S.L.;B91189803;12/02/2020; ;;
2020;Febrero;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000297;EMT/2019/00020;SERVICIO DE TOMA DE MUESTRAS Y CONTROLES ANALITICOS DE AGUAS EN LAS DIFERENTES INSTALACIONES DE LA EMT DE MADRID - LOTE 3;Servicios;Abierto simplificado;;;Pluralidad de criterios;54.304,10 €;54.304,09 €;60;02/01/2020;URIKER S.L.;B48473516;12/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000298;300/2019/00778;ACTIVIDADES EXTRAESCOLARES EN LOS CENTROS EDUCATIVOS DEL DISTRITO DE FUENCARRAL-EL PARDO DURANTE EL CURSO 2019-20, EN DOS LOTES. LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;281.239,77 €;151.070,77 €;8,66;12/12/2019;G.E.ESCUELAS URBANAS,S.L.;B81468811;10/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE SALAMANCA;202000299;104/2019/02703;ACUERDO MARCO OBRAS DE REFORMA, REPARACION Y CONSERVACION DEL CONJUNTO DE EDIFICIOS Y ESPACIOS PUBLICOS CUYA COMPETENCIA CORRESPONDE AL DISTRITO DE SALAMANCA DEL AYUNTAMIENTO DE MADRID. 4 LOTES. LOTE 1;Obras;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;03/12/2019;FERROVIAL AGROMAN SA Y FERROVIAL CONSERVACION SA UTE;U88523972;14/01/2020;SI;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE PUENTE DE VALLECAS;202000300;300/2019/00169;DINAMIZACION DE CERTAMENES Y CONCURSOS EDUCATIVOS PARA LOS CENTROS ESCOLARES DEL DISTRITO DE PUENTE DE VALLECAS.;Servicios;Abierto simplificado;;;Pluralidad de criterios;54.827,67 €;42.350,00 €;24;25/10/2019;NATUR DEL SIGLO XXI S.L;B82052119;21/11/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE SALAMANCA;202000301;104/2019/02703;ACUERDO MARCO DE LAS OBRAS DE REFORMA, REPARACION Y CONSERVACION DEL CONJUNTO DE EDIFICIOS Y ESPACIOS PUBLICOS CUYA COMPETENCIA CORRESPONDE AL DISTRITO DE SALAMANCA DEL AYUNTAMIENTO DE MADRID. 4 LOTES. LOTE 2;Obras;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;03/12/2019;ACSA OBRAS E INFRAESTRUCTURAS, S.A.;A08112716;02/01/2020;SI;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE SALAMANCA;202000302;104/2019/02703;ACUERDO MARCO DE OBRAS DE REFORMA, REPARACION Y CONSERVACION DEL CONJUNTO DE EDIFICIOS Y ESPACIOS PUBLICOS CUYA COMPETENCIA CORRESPONDE AL DISTRITO DE SALAMANCA DEL AYUNTAMIENTO DE MADRID. 4 LOTES. LOTE 3;Obras;Abierto;;;Pluralidad de criterios;0,00 €;0,00 €;24;03/12/2019;ACSA OBRAS E INFRAESTRUCTURAS, S.A.;A08112716;02/01/2020;SI;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE LATINA;202000303;300/2019/01681;CONTRATO DE SERVICIOS DE TRANSPORTE PARA PERSONAS EN AUTOCAR DESTINADO A LA REALIZACION DE ACTIVIDADES COMPLEMENTARIAS A LA ENSEÑANZA DESDE LA SECCION DE EDUCACION Y ACTIVIDADES DE CARACTER HISTORICO, ARTISTICO Y CULTURAL PARA LOS CENTROS DE MAYORES DESDE EL DEPARTAMENTO DE SERVICIOS SOCIALES, DEL DISTRITO DE LATINA. LOTE 2;Servicios;Abierto simplificado sumario;;;Pluralidad de criterios;13.757,70 €;13.757,70 €;5,6;11/02/2020;CLASSIC BUS, S. L.;B81981151;12/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE LATINA;202000304;300/2019/01681;CONTRATO DE SERVICIOS DE TRANSPORTE PARA PERSONAS EN AUTOCAR DESTINADO A LA REALIZACION DE ACTIVIDADES COMPLEMENTARIAS A LA ENSEÑANZA DESDE LA SECCION DE EDUCACION Y ACTIVIDADES DE CARACTER HISTORICO, ARTISTICO Y CULTURAL PARA LOS CENTROS DE MAYORES DESDE EL DEPARTAMENTO DE SERVICIOS SOCIALES, DEL DISTRITO DE LATINA. LOTE 1;Servicios;Abierto simplificado sumario;;;Pluralidad de criterios;24.690,60 €;24.690,60 €;5,6;10/02/2020;DISCRECIONAL G-18, A.I.E.;V85102333;12/02/2020; ;;
2020;Febrero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000305;CCV/2019/00749;SUMINISTRO DE FORRAJES: HENO DE MONTAÑA, PAJA DE CEREALES Y ALFALFA HENNIFICADA;Suministro;Abierto;;;Un unico criterio;269.830,00 €;269.830,00 €;12;23/12/2019;JUPICAR, S. L.;B80311541;01/01/2020; ;;
2020;Febrero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000306;CCV/2019/00928;SERVICIO DE AMBULANCIAS PARA COMPETICIONES DEPORTIVAS EN LAS DEPENDENCIAS DEL CCVM. SA;Servicios;Abierto;;;Pluralidad de criterios;249.200,00 €;226.050,00 €;12;27/01/2020;VITALIA SERVICIOS SANITARIOS, S.A.;A84664986;04/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE CHAMARTÍN;202000307;300/2019/00281;TRANSPORTE EN AUTOCARES PARA ACTIVIDADES COMPLEMENTARIAS A LA ENSEÑANZA Y ACTIVIDADES DE CENTROS DE MAYORES DEL DISTRITO DE CHAMARTIN. LOTE 1;Servicios;Abierto simplificado;;;Un unico criterio;18.000,00 €;12.594,60 €;12;14/02/2020;HERMANOS BRAVO VAZQUEZ S.L.;B78163987;14/02/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;202000308;300/2018/01748;IFS. MEJORA DE ESPACIOS PUBLICOS EN  AVDA. DAROCA, BARRIOS DE CHOPERA Y DELICIAS, PLAZA DE PROSPERIDAD Y CALLE GREGORIO S. HERRAEZ. 4 LOTES. LOTE 3;Obras;Abierto simplificado;;;Pluralidad de criterios;400.000,00 €;298.400,00 €;4;28/11/2019;ACEINSA MOVILIDAD, S.A.;A84408954;23/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;202000309;300/2018/01725;IFS. MEJORA DE LAS CONDICIONES DE SEGURIDAD EN DIVERSOS TUNELES. OBRAS DE PASO Y MUROS DE CONTENCION EN LA CIUDAD DE MADRID. (3 LOTES). LOTE 2;Obras;Abierto;;;Pluralidad de criterios;1.043.595,02 €;800.019,94 €;4;28/11/2019;ORTIZ CONSTRUCCIONES Y PROYECTOS, S.A.;A19001205;18/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;ÁREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;202000310;300/2018/01725;IFS. MEJORA DE LAS CONDICIONES DE SEGURIDAD EN DIVERSOS TUNELES. OBRAS DE PASO Y MUROS DE CONTENCION EN LA CIUDAD DE MADRID. (3 LOTES). LOTE 3;Obras;Abierto;;;Pluralidad de criterios;756.498,51 €;577.284,02 €;6;28/11/2019;API MOVILIDAD, S.A.;A78015880;17/12/2019; ;;
2020;Febrero;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000311;MDC/2020/00001;"ORGANIZACION, EJECUCION Y DESARROLLO DE LA REPRESENTACION ARTISTICA TEATRAL DENOMINADA ""DRACULA. BIOGRAFIA NO AUTORIZADA"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2º;;220.774,18 €;220.774,18 €;1,2;20/12/2019;PASOAZORIN TEATRO;G86956349;03/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE USERA;202000312;300/2019/00376;ACTIVIDADES EXTRAESCOLARES MUNICIPALES DEL DISTRITO DE USERA 2019-2020;Servicios;Abierto;;;Pluralidad de criterios;349.974,17 €;310.847,06 €;12;12/11/2019;TRITOMA S.L.;B78342615;10/12/2019; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000313;300/2019/00784;ACTIVIDADES COMPLEMENTARIAS A LA EDUCACION EN LOS CENTROS EDUCATIVOS DEL DISTRITO DE FUENCARRAL-EL PARDO DURANTE EL CURSO 2019/20, EN TRES LOTES. LOTE 1;Servicios;Abierto;;;Pluralidad de criterios;304.158,64 €;144.687,19 €;8,73;05/12/2019;G.E.ESCUELAS URBANAS,S.L.;B81468811;08/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000314;300/2019/00784;ACTIVIDADES COMPLEMENTARIAS A LA EDUCACION EN LOS CENTROS EDUCATIVOS DEL DISTRITO DE FUENCARRAL-EL PARDO DURANTE EL CURSO 2019/20, EN TRES LOTES. LOTE 2;Servicios;Abierto;;;Pluralidad de criterios;72.937,48 €;43.025,14 €;8,73;05/12/2019;S.O.S. IN ACTION, S.L.U.;B85073062;08/01/2020; ;;
2020;Febrero;AYUNTAMIENTO DE MADRID;DISTRITO DE FUENCARRAL - EL PARDO;202000315;300/2019/00784;ACTIVIDADES COMPLEMENTARIAS A LA EDUCACION EN LOS CENTROS EDUCATIVOS DEL DISTRITO DE FUENCARRAL-EL PARDO DURANTE EL CURSO 2019/20, EN TRES LOTES. LOTE 3;Servicios;Abierto;;;Pluralidad de criterios;66.826,52 €;37.994,00 €;8,76;05/12/2019;CENTRO DE INICIATIVAS PARA LA INFANCIA Y FAMILIA, S.L.;B81064933;08/01/2020; ;;
2020;Febrero;EMPRESAS;EMPRESA MIXTA CLUB DE CAMPO VILLA DE MADRID, S.A.;202000316;CCV/2019/00990;SERVICIOS DE ASESORAMIENTO Y ASISTENCIA JURIDICA EN MATERIA DE DERECHO ADMINISTRATIVO, URBANISMO, CIVIL, MERCANTIL Y PENAL PARA EL CCVM, SA;Servicios;Abierto;;;Pluralidad de criterios;43.560,00 €;30.492,00 €;24;27/06/2019;PRICEWATERHOUSE COOPERS JURIDICO Y FISCAL SL;B80909278;08/07/2019; ;;
2020;Marzo;EMPRESAS;EMPRESA MUNICIPAL DE TRANSPORTES S.A.;202000317;EMT/2019/00096;GESTION DE LOS RESIDUOS PELIGROSOS GENERADOS EN LAS DIFERENTES INSTALACIONES DE LA EMPRESA MUNICIPAL DE TRANSPORTES DE MADRID, S.A.;Servicios;Abierto;;;Pluralidad de criterios;125.446,66 €;125.446,66 €;36;27/12/2019;LOGISTICA AMBIENTAL S.L.;B19195304;12/02/2020; ;;
2020;Marzo;AYUNTAMIENTO DE MADRID;DISTRITO DE PUENTE DE VALLECAS;202000318;300/2019/00135;SERVICIOS PARA LA VIGILANCIA Y SEGURIDAD DE LOS EDIFICIOS DEPENDIENTES DEL DISTRITO PUENTE DE VALLECAS. 2019-2021;Servicios;Abierto;;;Pluralidad de criterios;1.446.007,95 €;1.268.322,00 €;24;04/11/2019;GRUPO CONTROL EMPRESA DE SEGURIDAD, S.A.;A04038014;28/11/2019; ;;
2020;Marzo;EMPRESAS;MADRID DESTINO, CULTURA, TURISMO Y NEGOCIO, S.A.;202000319;MDC/2020/00002;"ORGANIZACION, EJECUCION Y DESARROLLO DE LA REPRESENTACION ARTISTICA TEATRAL ""EL HOMBRE Y EL LIENZO"" EN TEATRO FERNAN GOMEZ. CENTRO CULTURAL DE LA VILLA";Servicios;Negociado sin publicidad;168;a) apartado 2º;;42.866,67 €;42.866,67 €;0,86;16/12/2019;JESUS SALA NARANJO;50191263L;07/01/2020; ;;
2020;Marzo;AYUNTAMIENTO DE MADRID;DISTRITO DE HORTALEZA;202000320;300/2018/02159;SERVICIO DE CAFETERIA Y COMEDOR CON PRODUCTOS DE COMERCIO JUSTO EN EL CENTRO MUNICIPAL DE MAYORES Y SERVICIOS SOCIALES CONCEPCION ARENAL DEL DISTRITO DE HORTALEZA;Servicios;Abierto;;;Pluralidad de criterios;37.320,63 €;34.100,00 €;12;05/12/2019;"COMEDORES BEDMAR; SL.";B80232572;20/01/2020; ;;
